书名,简介,标签,链接,作者,类型,字数,完结状态,积分,发表时间,文案
西出玉门,西出玉门,幻想空间 正剧,http://www.jjwxc.net/onebook.php?novelid=3035707,尾鱼,原创-言情-近代现代-爱情-女主,523014,完结,2288363520,2016-12-26 20:37:49,西出玉门有人说，你在深夜沙暴里隐约看到的黄土方城，其实是玉门关的鬼魂。其它完结文，欢迎戳新文：
反派攻陷记事,沙雕x病娇，不同的脑回路谈恋爱,灵异神怪 情有独钟 甜文 穿书 爽文 轻松,http://www.jjwxc.net/onebook.php?novelid=6058810,纪婴,原创-言情-架空历史-爱情-女主,760000,完结,5058287616,2023-08-11 22:58:52,【实体出版进度在wb@晋江纪婴～】*在悬疑志怪小说《苍生录》里，江白砚少时孤苦，因血脉特殊，被收留于长安施府。清隽疏朗的少年生有一双潋滟桃花眼，内里却是个偏执阴戾的疯子，注定在苦难与折辱中逐渐黑化，祸乱天下。施黛一朝穿越，成了那位对他百般刁难，最终死无葬身之地的施府小姐。不幸的是，她没能把小说看完。在施黛已知的剧情里，江白砚只不过是个沉默腼腆、总受欺负的小可怜。*江白砚从未见过如施黛一般的人。当他屠尽满园妖邪后。染血的少年杀气缠身，目光如修罗恶鬼，步步向她靠近，唇边勾起恶劣的笑：“怕了？”施黛：“好厉害！我鼓掌鼓到螺旋飞天疯狂全旋再绕月飞行三百圈——而且你笑起来居然有酒窝！”江白砚：…？见她与另一男子同游灯会后。江白砚垂眸，指尖绕过她发丝，语气戏谑阴沉：“西郊的大宅…倘若将你藏进去，便不会被旁人发现吧？”施黛：“包吃包住吗？我每天能睡懒觉吗？哦对，你做饭很好吃。”江白砚：…？江白砚本应厌她憎她，临近别离之际，却眼圈泛红拉住她袖口：“别不要我，好不——”施黛：“好好好，只要你，啵唧。”江白砚：…？他好像，还没来得及把台词念完。【阅读指南】1.悬疑捉妖背景。2.快快乐乐小太阳x别扭病娇大魔头，感情线练习。【———下面是预收文！———】《小师妹》*灵湘这一生，有颇多遗憾。与她莫逆之交的师姐遭人背叛，死在她怀中。自幼护她的大师兄蒙受陷害，含冤而亡。师尊为守天下大道，身消兵解。而灵湘自己，痴恋出身魔族的陆行沧，直到被引入魔域陷阱，才知活成了笑话。陆行沧接近她，是为取她仙骨，救治青梅竹马的未婚妻。那一日，灵湘被剖筋取骨、血染长阶，陆行沧决然离去，从未回头。群魔围攻，是她的小师兄谢京玉孤身持剑，来此屠尽千百邪祟，濒死之际拥她入怀，温声道了句“别怕”。灵湘重伤获救，谢京玉不知所踪。后来灵湘斩妖邪、诛怨敌，如师门所愿，登临正道第一剑，可斯人尽逝，空余惘然。再睁眼，灵湘回到数年前。春夜无边，大师兄饮酒对月，师姐为她抚下鬓边落花，师尊遥坐檐下，投来含笑一瞥。还有她那死在最前头的小师兄，谢京玉。一切不算晚。这一回，她更早握得住手中剑，护得住身边人。*师门里，灵湘与谢京玉的关系最为疏远。谢京玉半妖之体，天生耳疾，寡言少语，每每面对灵湘，要么一本正经指点剑术，要么告诫她莫被魔族蒙骗。一朝重生，灵湘与他同行捉妖。杀机四起，谢京玉一言不发，始终护她身前。待妖邪退尽，他语气冷淡，询问可有受伤。想起那个临死前的拥抱，灵湘轻声张口。因有耳疾，谢京玉竭力分辨，却听不清。于是山野阒静，月色幽微，灵湘步步上前，靠近他耳边。谢京玉握紧长剑，侧脸隐有热意。“小师兄。”她说：“你的耳朵，好红。”*曾经听闻谢京玉的训诫，灵湘只觉无趣。今生，灵湘最爱看乌发散落、耳鬓厮磨，谢京玉被她撩拨得双目迷蒙，在袅袅不尽的幽香里，低声斥她：“…不知羞。”【阅读指南】1.一点心机的白切黑大小姐x一点孤僻的温柔病美人，男暗恋。师妹很强有点疯，师兄是情妖，动情会散出香气那种。
明目张胆,和巨有钱的禁欲总裁结婚了,豪门世家 天之骄子 甜文 先婚后爱,http://www.jjwxc.net/onebook.php?novelid=3363937,姜之鱼,原创-言情-近代现代-爱情-女主,419439,完结,3085756928,2019-09-17 18:00:01,华盛总裁陆燕临冷淡严谨，矜贵禁欲，从不传绯闻，一向出现在财经新闻上。最新一期杂志封面，手上却多了枚婚戒。 当月有媒体统计，一直没曝光的“陆太太”成了全网最受羡慕的女人。.天艺娱乐的林初萤每次都因为盛世美颜上热搜，明艳张扬，背景成谜。直到她终于上了一个答题综艺。节目中有一道冷门的相关题，允许嘉宾场外求助，她拨的电话被接通，男人声线低沉——“你早上没找到的衣服在我衬衫下面。”网友们关于这声音是不是华盛集团的陆总讨论了两天。第三天，论坛热帖：【卧槽！我是最后一个知道林初萤的婚戒和陆总的是一对吗？！】.已婚暴露后，林初萤开了直播，看到拥有上百个奢侈品展示柜的豪宅，黑粉们嘲讽她早晚成豪门弃妇。 第二天，有人发现林初萤的微博简介改了。 【天艺娱乐老板，林氏地产大小姐】 黑粉们：……？林初萤第二次直播时，背景从豪宅变成了冷淡风办公室。一时间，浑身上下写着“有钱有颜你算什么”的大小姐公司破产上班还钱的言论刷屏。　　林初萤莞尔一笑：“没办法，生活所迫，我真是好惨一女的。”　随后，镜头一转，只见一个坐在办公桌后的男人身着西装，正经骄矜，眉峰微挑：“陆太太，上班时间不要玩手机。”　　　　　直播间差点崩了——“你上的不是班，是金山。”　“上价值千亿的班，你跟我卖惨？”***********　★明艳有钱大小姐x占有欲超强总裁★女主不是明星，双总裁，互撩★微博@姜之鱼y【新文《明知故婚》】央台冷门职业纪录片里，祝从唯作为入殓师出镜，容貌清艳，葱指如玉，是人间极品。网传，今年宁城殡仪馆的报考人数要爆。　　　　　　　祝从唯发博劝告：“已婚，大家前途为重。”谁这么有眼光一时间成了谜。.　　温家掌权人温呈礼在圈内辈分尊贵，年轻俊雅，迟迟不婚，各方意动。从某天起，他的桌上经常出现单枝的花。　　记者采访时问起。温呈礼微微一笑，长指拨弄花叶，“它的作用是快枯萎时，我就知道要送太太新花了。”采访一惊公开，全网嗑糖。　.　　　　　　　当初祝家出了事，把联姻主意打到祝从唯身上。见面当天，得知隔壁包厢里的大人物是温呈礼，祝从唯故意敲错门，走了进去。　　真相曝光后，所有人都觉得这段婚姻到了头。　据说，那晚有人看到祝从唯指尖戳着温呈礼的胸膛，“你都知道了，那离婚吧。”　　　众人吃瓜看戏。　第二天，婚没离，祝氏变成了祝从唯的。　　不久后拍卖会，温呈礼一掷千金，有人大胆询问：“那些传闻您不在意？”温呈礼轻笑：“我求娶的太太，谁说不在意。”·     “我心从唯，不惧岁月不惧死。”  *★漂亮心机入殓师x斯文手控总裁★互撩，女主利己
师父他太难了,师父是熊猫妖！,魔幻 情有独钟 穿越时空 甜文 轻松 师徒,http://www.jjwxc.net/onebook.php?novelid=4354574,扶华,原创-言情-架空历史-仙侠-女主,589104,完结,5675930624,2019-10-08 22:22:22,辛秀：“师父是熊猫！”
银河坠落,恣肆天之骄子x安静跛足少女,天之骄子 励志 甜文 轻松,http://www.jjwxc.net/onebook.php?novelid=6282744,曲小蛐,原创-言情-近代现代-爱情-女主,355410,完结,3990598656,2022-03-02 10:00:00,（实体已签约，微博@曲小蛐）少年时，江肆永远是所有人中央最耀眼最恣肆的天之骄子；而宋晚栀是站在角落阴影里，仰头望着他的，穿纯白长裙的少女。他桀骜，她安静。他恣意妄为，她循规蹈矩。他是放浪到骨子里的江肆，她是残缺而纯白无暇的宋晚栀。他们是两个极端。哪怕来自同一所高中，只差两届，S大也没人把他们联系在一起。直到某一天。江肆发现了宋晚栀的秘密。“暗恋人渣是会付出代价的，”他把她囿在操场的高墙后，看树荫染上女孩纯白的脚踝，眼底阴影晦深，却笑着俯近她问，“你确定你想和我一起堕落吗，栀子？”“……”·【年少时见你，如隔星海不可及。后来，银河向我坠落。】——宋晚栀（2021.4.7作本句）（2021.11.26作文案）（以上均有截图记录）【注】1.全文大学校园背景，微量回忆杀；2.双c，男主有感情史，系互相利用不走身也不走心；3.女主脚踝有陈年旧伤，心理障碍性微跛，后期会好；4.人设个性多隐情，一言难蔽，有耐心请往下看，没耐心请及时点叉。完结系列文>>>《高四生》[又颓又拽“金盆洗手”前大佬]x[超怂但嘴炮max窝里横小软妹]
娇气，但软饭硬吃[快穿],他们喂我吃软饭,情有独钟 穿越时空 系统 甜文 快穿 万人迷,http://www.jjwxc.net/onebook.php?novelid=5067830,蒲中酒,原创-纯爱-近代现代-爱情-主受,1010098,完结,4245080832,2022-07-11 21:00:00,【新文《万人迷症候群[快穿]》已开】【全文完，福利番外随缘掉落】水鹊又病又弱，生逢末世，过得很糟糕，然后他就死了。“叮咚！软饭系统检测到您的娇气值max，美貌值max，omg宝宝你胃还不好，简直就是天生吃软饭的。加入我们，成功人士，巅峰事业，吃软饭，让你少走三十年弯路！”水鹊：原来还有不干活也能吃上饭的好事吗？　　　【信息素紊乱的私生子Alpha】他是来历不明的私生子，母亲死后他被接回豪门，父亲漠视、继母冷眼、零花钱还把握在当家的大哥手里。作为爱慕虚荣的软饭A，他会迷失在物欲当中，仗着信息素紊乱症，伪装Omega在直播平台钓大款，还在学校里到处找好哥哥。结局是事迹曝光，身败名裂。　　水鹊认真吃软饭，满足直播间老板的要求，刚一换上新服装，直播间就判定内容不当自动下播了。他疑惑地对镜自拍，群发给列表所有好哥哥：不好看吗？下一秒房门被敲，继兄：“开门。”水鹊：糟糕，群发多勾选了一个哥哥。【无限副本的盲眼寡夫】他是靠着抱大腿在无限世界苟活的玩家，双目失明，不仅是整个队伍的拖油瓶，还对着排行No.1的玩家，也就是他的新婚丈夫，呼来喝去，众人早就看他不顺眼。No.1单独出任务意外死亡，他准备好迎接下一个副本被鬼撕碎的结局。但副本npc为他洗衣做饭，而从前备受他欺凌的男主No.2给他冷脸叠裤子。最终Boss抓住他，触手缠绕，“宝宝……”　　【嫌贫爱富的黑月光】他是科举文主角那嫌贫爱富的黑月光未婚夫，主角一边一天打三份工养他，一边还要准备科举，他却和主角的同窗老师勾勾搭搭不清不楚，还在新婚当夜和傍上的小侯爷跑了，最后他会备受冷落郁郁死于后院。　　一切都进行得很顺利，直到风光无限的状元郎非但没有打击报复他，反而将他堵在墙角，眼眶都红了，“我会努力赚钱的，你回来，我养你。”半夜，侯爷爬上他的床，“还想着你的小情郎？”　　【骗氪养崽游戏里被养的崽】他是养崽游戏里的隐藏角色，抽到角色的玩家将扮演家长进行对他进行养成，但这个角色的武器要氪金，服装要氪金，甚至角色的心情、行动力也必须要氪金，结果还是各项初始数值低到离谱的貌美花瓶，内测阶段就因为大主播的控诉视频被全网喷而放弃上线。　　本该喷他的大主播——“欢迎大家来到直播间看我的崽崽！孩子今天心情不太好，没事爸爸有钱！氪，都可以氪！”“新的秋季服装上线了，买！”“等等，这个npc为什么突然对我崽表白？没有杀掉的选项吗：）”【纯阴体质的少宗主】他是退婚龙傲天的纯阴体质少宗主，和男主竹马竹马，年少慕艾，让男主爱得他死去活来，结果在男主家破人亡后立刻选择退婚，还定了男主未来的大师兄作为新的联姻对象。本应三十年河东三十年河西，宗门最终被龙傲天覆灭。但为了让少宗主采补修为，宗门上下都成了卷王奋斗批，蒸蒸日上，脚踢无情道剑宗，拳打自在殿佛修。而强势归来的龙傲天跪在宗主面前奉上无数珍宝请求当赘婿。【年代文里的绿茶知青】他是年代文里的知青穿书者，好吃懒做还绿茶。由于提前知道剧情，他会巴结未来靠经商发家致富的男主，哄骗男主的老实人哥哥替他干活挣工分，许诺等自己考上大学后就和对方结婚，骗光了老实人兜里的钱。最后，男主戳破他真面目，让他被驱逐出知青院，孤立无援，消失在恢复高考那个雪天里。　　然而，老实人知道自己被骗也心甘情愿，而一直看不惯他的小叔子半夜扣响房门，“宝宝开门，我真是我哥。”　　　　[本文食用tip]1.世界一继兄攻是养子，与主角没有血缘关系，不在同一户口本2.万人迷宝宝文学，土狗狂喜3.切片攻，戏份多且有亲密接触的是切片推推预收文《万人迷症候群[快穿]》——       辛禾雪死了两次，头一次是病死的边远小行星王储，后来投生到冷宫废妃的腹中。　　他拖着沉疴病躯，吹一阵风三步路咳两次血，登临九五之位。　　然后他就被毒死了。　　　　有人问他：“你最想要什么？”　　辛禾雪毫不犹豫：“活下去。”　　　　绑定他的系统笑了笑，给了他一个承诺，只要他能够从那些目标对象身上获得足够的爱意值和虐心值，他可以到一个新的世界，长命百岁。　　能在宫闱存活二十年，对辛禾雪来说，作戏就像吃饭喝水一样简单，这个任务不难。　　　　只是，他好像在每个世界里都有奇怪的病症……　　　　【脸盲】　　辛禾雪是裴家大少裴光济的金丝雀。　　宝贝得紧，藏的严实，唯裴光济的几个发小有耳闻。　　外人看来，宴会上一小时打六个电话、五分钟看一次通讯器的裴家大少，只道是年纪到了知道收心成家继业了。　　　　直到裴光济为了辛禾雪，飞行器事故导致双腿残疾，不得已转院到联邦核心区治疗。　　仅剩一口气，也要叫发小照顾自己在家里的男朋友。　　　　几个发小不耐烦：“得了吧，不就是个Beta，还是劣质的纯血人类，玩玩就够了。”　　　　直到他们终于见到藏在别墅的金丝雀。　　　　很漂亮，眼尾有一颗痣。　　像是那个出身贫民窟的过气青年演员。　　　　神色恹恹，坐在角落里，脚边有只机械猫摆尾乞怜。　　看到有人进来了，眉眼才舒展，上前抱住来者，欣喜道：“光济？”　　　　发小怔了。　　原来裴光济说金丝雀认不清人是真的。　　　　【失忆】　　一场大旱，辛禾雪一个未修炼成形的锦鲤，差点渴死在干裂的河床里，一个书生把他带回去，养在农家院子里的水缸。　　终于大雨，才放回河里。　　辛禾雪记住了这份恩情。　　　　他守在京郊破庙，等着上京赶考的书生歇脚。　　　　这是一位擅长报恩的锦鲤仙。　　但是只有七日记忆。　　　　这是什么？穷书生，报恩一下。这是什么？穷书生，报恩一下。这是什么？穷书生，报恩一下。　　　　辛禾雪总是忘记重要的事情，以至于放榜那天——　　进士们奔入破庙，状元郎头戴金花乌纱帽，跨下红鬃马，说非他不娶。　　　　【白化】　　上埃及与下埃及以白城为分界，白王与红王分治，两国争斗不休。　　　　红王听闻白王在尼罗河畔带回来一个人，奉为大祭司。　　金色的太阳，沙漠火热，祭司笼罩在雪白的兜帽长袍里，一丝一毫也不露出。　　　　有了大祭司的辅佐，上埃及岁稔年丰，粮仓装满麦粒。　　　　红王又听闻，上埃及的子民恭敬地称呼大祭司为上天的神使。　　还有人见过他的容貌，赞颂为“金沙的珍珠”。　　　　祭司与白王形影不离，抵足而眠。　　又有人说这位大祭司是白王的宠妃。　　　　安插的探子得了手，红王满意地看着被押送回来的大祭司，轻而易举地掀开对方的长袍。　　　　高山之顶才有的雪色。　　白发，甚至是白色的睫毛。　　　　红王有狼一般的眼眸，锐利眯起，盯着那映着薄红的玉面。　　不得不说，他的长兄白王，眼光很好。　　　　他也渴望握紧金沙的珍珠。　　【肌肤饥渴】　　联邦里唯一SSS级的向导，位列少将。　　没人见过他的精神体，他的精神力强大到不需要放出精神体，就能够为这些战损的哨兵治疗。　　与强大的精神力相反，这位少将的身体令人心揪。　　　　许多人见过他在安抚民众的报告会上，过于昳丽的眉眼低垂，掩唇咳嗽，手帕上淋淋鲜血。　　　　少将看着冷淡，军装总是严谨地扣上喉结处，瘦白的双手穿戴黑色手套。　　只有接受过治疗的哨兵知道，少将其实很温柔，会轻声安慰，精神力像是柔软的春水。　　　　哪怕如此，由于少将忌讳与人接触，哨兵们总是尊敬更多。　　　　直到有不要命的新兵，治疗时触碰上少将的手。　　　　没有了黑色手套的隔绝，仅仅是十指紧扣这样的动作，少将也像是遭人欺负了一般眼尾绯红，咬紧了唇瓣。　　　　战友规劝这位新兵，杜绝不该有的妄想。　　少将死了丈夫，是曾经最亲密的战友，任何人都不能再插足。　　　　　新兵的性格比他3S级的战斗力还要张扬，咧出犬齿，“哦，死了丈夫？那我不能再让少将守活寡。”　　　　【钟情妄想】　　四小无猜。　　八十年代海城弄堂里的病弱小竹马，坚定认为其他竹马都喜欢自己。　　事实确实如此。　　　　【被害妄想】　　无限副本的老婆npc。　　住在城寨里的鸽笼房，自从丈夫遇害，开始疑神疑鬼，惴惴不安。　　直到他误向连环杀手寻求庇护。　　　　[食用指南]　　1小世界不止一个攻切片　　2万人迷受，小世界死遁　　3微狗血，大量美貌描写与虚弱表现
无上宠爱,傅总和他的小美人鱼,情有独钟 娱乐圈 业界精英 甜文 轻松,http://www.jjwxc.net/onebook.php?novelid=4184063,臣年,原创-言情-近代现代-爱情-女主,524201,完结,3538097408,2019-09-19 15:45:00,【实体书名改为《今日喜你》 已上市】商界新贵傅北弦，俊美骄矜，手段强硬，回国短短一年，便成为整个圈内最不能得罪的大人物之首。岂料某次商业聚会，有媒体拍到，这位素来冷漠薄情的男人正眉眼温柔的打电话。记者大着胆子采访：请问傅总，方才与你通电话的是哪位？傅北弦慢条斯理的拨弄了一下无名指上的婚戒，睨着他，嗓音低凉如水：“你说呢。”一瞬间，商界大佬傅总已婚的消息传遍全网。众人猜测——傅太太一定是位优雅高贵的名媛千金，才能入得傅总的眼。**十八线小明星姜宁凭借一组美人鱼杂志硬照火爆全网，碧水蓝天下，少女穿着金光闪闪的鱼尾，面容精致美艳，清冷自持。好事者扒出姜宁与傅太太长相极度相似，并曝出她在停车场与傅总的亲密照，这张照片瞬间引爆微博。#姜宁滚出娱乐圈#+#当红女星姜宁勾引傅总上位#+两个话题一升再升。就在众人猜测姜宁用什么姿势洗白时，最先出来的居然是傅太太娘家，北城首富姜氏。【姜氏集团V：大小姐，姜董说让您滚出娱乐圈后，先回来继承家业。】吃瓜群众：等等！！这是什么神反转？更神的是……仅隔十分钟，傅总长草的私人微博直接转发话题。【傅北弦V：#当红女星姜宁勾引傅总上位#假的，夫妻情趣。】黑粉：“……”打脸与狗粮来的猝不及防。姜宁：岁月静好jpg.——傅太太，你的娱乐圈游戏该结束了。婚后小甜文、年龄差//无原型，看的是快乐本书又名#傅总和他的小美人鱼#**系列文《我要你》《极致沉迷》《高调宠婚》已完结，隔壁可了解一下。
饲蛟,感情深，一口吞！,灵异神怪 情有独钟 因缘邂逅 甜文 轻松,http://www.jjwxc.net/onebook.php?novelid=3522735,上灵,原创-纯爱-架空历史-爱情-主受,291249,完结,2861666816,2018-04-28 18:18:18,《饲蛟》实体书由 千十文化 出版，将于2024年2月12日（大年初三晚）19:00全面开启预售哦，详情可在各大平台搜索“饲蛟”或“千十文化”。这条上天入地，为天道钟爱的龙，此刻正毫无所觉地昏迷着……蛟想：也许千万年来他所等待的化龙机遇就在今日。——只要吃了他！可……为什么每次他想张嘴偷袭总能被对方抓个正着？注意：正文没有生子情节，番外第三篇有生蛋！
上瘾,磨人小仙女x禁欲商界大佬,豪门世家 情有独钟 天之骄子 甜文 轻松 治愈,http://www.jjwxc.net/onebook.php?novelid=4504836,今婳,原创-言情-近代现代-爱情-女主,427519,完结,3228683776,2021-04-08 21:30:00,【已签约实体出版，具体进度微博@今婳偶尔写写文】 1．姜奈被誉为娱乐圈的仙品女神，当年一舞成名爆红网络，视频里少女一身烟雾色长袖裙的身姿，清冷美丽，仿佛珍贵的瓷娃娃，却透着易碎的脆弱。遇见谢阑深的那年冬日，姜奈却无家可归，刚走出医院就下起了一场大雪。男人西装笔挺地坐在车内，车窗半降，他的长指夹着带有火星香烟，眯起眼，透过烟雾看着她像是迷路的小鹿一样从漫天白雪中闯进他心里。2.谢阑深是商界著名的投资大佬，深居简出十分低调，看遍整个泗城内的美人，可惜没一个能入的了眼，多年来私生活完全是谜，被评为最性冷感的男神。直到有一次媒体曝出在拍卖会上，谢阑深以高价买下价值上亿别墅。别墅里被他放置数不清的高定礼服，珠宝首饰，连主卧那张公主床也是他亲自设计。消息传出后，大家都纷纷猜测是哪个神秘女人被他精心养着？当好友八卦问起的时候，俊美的男人指腹捏着半截烟，惜字如金：“为了哄她，做婚房用。”随后，楼梯处出现一个穿着宽松男士衬衫的女人，鼻音柔软：“谢阑深，早餐吃什么呀？”好友忍不住望去，只见她抬起张极美的脸，眼尾处晕染开一点桃色，像是白雪上烙印的朱砂红。“…………”等下，这是你金屋藏娇的老婆？3.后来圈内开始传言，谢家那位尊贵的大人物喜欢纯情干净的美人儿。一次聚会，谢阑深坐在主位上，引得无数女人心动搭讪，却置之不理。等散场后，才发现他整晚拿着手机，在翻看女明星的路透照片。画面里，那张张薄瓷一般易碎的身影，都是来自同一个女人。——在没有遇见姜奈之前，他无欲无求，斋戒养性。后来，在最泥泞的尘世里遇上了这么一个人，有了真正欲念，藏于心间，教他不敢忘。*佛系小仙女x禁欲商界大佬【注】1. 双向救赎/男主有轻微人格障碍，天生缺乏同理心/只想把佛系女主占为己有。2. 无原型，女主超仙，作者超甜:D同系列文：《玫瑰之下》《 引火》~
和爱豆隐婚后我竟然红了,你们嗑到真的了,情有独钟 娱乐圈 甜文 爽文 轻松,http://www.jjwxc.net/onebook.php?novelid=4383393,山柚子,原创-纯爱-近代现代-爱情-主受,516867,完结,3496544256,2019-10-12 12:00:01,【全文完，番外黑科技生子】季维是个小透明主播。因为平时直播从不露脸，大家猜测他肯定……长相平平，老粉都很同情这个有实力但不红的技术流主播。直到季维受邀上了热门综艺，靠神仙颜值轰动娱乐圈，吸粉无数。并且，网友们震惊地发现——这个小哥哥不仅长得好看，一手国画拿遍国内外大奖！还会书法！还会古琴！……众人跪了：还有什么是这个小哥哥不会的吗！#一分钟内我要知道小哥哥全部资料，立刻马上#季维看着热搜有点头疼：其实……我还是习惯当个长相平平的技术主播。网友们：瞧瞧说的这是什么话？？！请让我这样长相平平谢谢！*众所周知，陆影帝平生最讨厌营销炒作，他和季维的CP粉风头无二屡上热搜，大家都猜测陆影帝肯定生气了。记者忐忑地问道：陆影帝怎么看待您和季维的CP粉？陆慎行轻笑：他们嗑到真的了。娱乐圈沸腾了！#呜呜呜呜我粉的CP成真了##不仅成真，他们还隐婚了！#注：1)双向暗恋苏爽小甜饼2)半架空，同性可婚，法定婚龄183）番外有小宝宝，有少量副cp情节————————————————————下本开《结婚选我我超乖（电竞）》求收藏:宁俞是名刚上大学的游戏主播，经常被问为什么不去打职业扬名立万，窝在这里当个小主播？他坐在电脑前欣赏池神的比赛回放。嗯……打职业有追星香吗？宁俞喜欢池予七年了，看着池予从联盟新人成为拿下三冠的顶级大神，这里的冠军指的是世界冠军。他和水友开玩笑惯了，经常在对方微博下留骚评论。——老公橄榄我——想被灌大肚子——等我脐橙你在池予摘下四冠当天，宁俞兴奋去酒吧庆祝，一不小心喝太多，抱着一个像池神的人亲，还拉着人不让走。然后……然后就滚床单了（捂脸）宁俞被｜干了整整一夜，嗓子都哑了，醒来后安慰自己成年了正常正常，对方器大活好不亏，何况还长得像他男神。谁知扭头望见一张和男神一模一样的脸，用着撩人的声线问：“结婚吗？”啊啊啊啊啊啊他没看错吧！怎么会是池予啊！他耳朵通红:“当、当然可以了。”—宁俞得知池予不和粉丝谈恋爱，想到之前的骚话坐立不安！他小心翼翼掩藏马甲，装得比高中生还乖，每天打游戏是写论文，什么英雄联盟根本没听过！当他们的关系曝光后，粉丝一致评价嫂子超乖，可惜不会玩游戏。一次圈内嫂子们友谊赛，他不知道有个嫂子有急事，联盟第一上单上的号。宁俞为了给老公长脸，稍微放开了打，不小心把职业选手干趴下了，整个直播间沉默了。紧接着疯狂刷屏。“这叫不会玩游戏？？！”“你家池神的水平已经够离谱了，嫂子水平怎么也这么离谱！”“池神还找什么上单啊，直接把老婆哄进队吧。”宁俞呆了片刻：“啊啊啊啊啊啊我真不会打游戏！”职业选手:“……更冒昧了。”正当他想萌混过关时，池予拿着手机走进来，似笑非笑念出他的骚话。并在他身上贯彻了遍。一字不落。
寒鸦,让我吻你千百遍,业界精英 甜文 时代新风 轻松,http://www.jjwxc.net/onebook.php?novelid=2551726,弱水千流,原创-言情-近代现代-爱情-女主,486620,完结,3546699776,2019-10-23 08:08:08,同系列新文《呜呜都是我自愿吃的》已经开始连载，专栏可见～微博@晋江弱水千流SS————————沈寂服役于海军陆战队里的虎狼之师，现蛟龙突击队队长。海上利剑，无坚不摧。此人手段狠厉，桀骜不驯，是三军之内出了名的狠角色。对于此等大佬中的大佬，小网红记者温舒唯默默评价：光辉伟大，不好招惹，当敬而远之。谁知有一天，男人军装笔挺高大英俊，靠着军舰护栏冲她勾了勾手，“小温同志，来一下。”温舒唯走过去，态度非常端正：“沈队有事找我？请说。”沈寂微挑眉：“说什么？说我不找你的时候是憋着想你，找你的时候是发了疯地想你，说我快想死你了？”温舒唯：“……”*①人狠骚话多A爆了的海军特种兵大佬VS二次元UP主软萌甜记者小可爱②甜不死人不要钱。******下本《厮磨》言氏是跨国财团，百年望族，圈子里公认的第一豪门。现任CEO手腕铁血，杀伐果决，如此铁石心肠的狠角色，偏又生了张倾国倾城貌，千秋绝色颜。韩锦书回想起自己第一次见言渡，对方身着一袭笔挺冷硬的黑西装，一丝不苟，冷漠的双眸如覆寒霜。拒人千里，不近人情。确认过眼神，是她惹不起的人。婚后第一天，韩锦书和言渡约定：无爱婚姻，坚守底线，除此之外，互不干涉。婚后第七天，言渡新增条款：每天固定早安吻。婚后第十天，言渡新增条款：每天固定晚安吻。……婚后第三个月，韩锦书腰膝酸软不堪重负，顶着熊猫眼去寺庙烧香，双手合十虔诚祈祷：“信女愿吃素一周，换言渡早日肾亏。”①骄纵明艳尤物大小姐VS宠妻狂魔美强惨偏执霸总。②先婚后爱③可能会甜死，自备救心丸。*下本《炙吻》：今年18岁的许芳菲，父亲早逝，家中只一个母亲一个外公，一家三口住喜旺街9号。喜旺街徒有其名，是凌城出了名的贫民窟。许母开了个纸钱铺养活一家，许芳菲白天上学，晚上回家帮母亲的忙。日子清贫安稳，无波无澜。后来，楼下搬来了一个年轻人，高大英俊，眉目间有一种凌厉的冷漠不羁和刺骨荒寒。男人经常早出晚归，一身伤，屋里时时带回些个性/感妖娆女。故事就是在这天开始的。①扛把子大佬X乖巧少女。②暗恋多年，得偿所愿。③1V1，SC，甜掉你的小脑袋瓜。
这个omega甜又野,“我们老大的信息素是甜的！”,幻想空间 甜文 爽文 校园 ABO 爆笑,http://www.jjwxc.net/onebook.php?novelid=4405908,莫里_,原创-纯爱-近代现代-爱情-主受,536101,完结,3644102400,2020-02-14 07:00:00,2025.07.25，因出版解约，上传出版番外三篇，共计12000字。————————以下是本文文案：校园男神冰美人攻（萧以恒）x泳池冠军小霸王受（厉橙）※文案一：厉橙是个omega，但是他A到爆炸。和老师们称兄道弟的人是他，在赛场上一骑绝尘的人是他，认80个beta当小弟的人还是他。突然某一天，厉橙敲锣打鼓地宣布——他对学校公认的男神级alpha萧以恒势在必得，一定要把他纳入房中！“萧以恒这个人，聪明，英俊，长得高！而且他腿长屁股翘，一看x能力就很强！！只有这样的alpha才配得上我！”腿长屁股翘，一看x能力就很强的萧以恒：“……”为表决心，厉橙说他每天早上都会为萧以恒送上爱心便当。结果第二天，厉橙熬夜玩电动，没起来床。第三天，厉橙和人蹦迪，没起来床。第四天，厉橙去隔壁学校打群架，没起来床。第五天……第六天……第七天……就在厉橙已经把追人计划抛在脑后之际，萧以恒在游泳课前，把他堵在了更衣室的隔间里。“萧以恒，你你你你你找老子干嘛？”“为了等你的爱心便当，我已经整整一周没吃早饭了。”萧以恒神色矜冷，似笑非笑，“不过你的信息素，闻起来倒是挺好吃的。”※文案二：《国民健康教育课》第一节就有写，绝大部分omega的腺体生长在颈后，每到热潮期就会红肿发烫。但是每十万人之中会有一个人，腺体的位置与众不同。厉橙，就是那十万分之一。而他的腺体，位于…… 厉橙鼓起勇气，执起萧以恒的手，颤抖却坚定地放到了自己的身上：“——我的腺体，在这里。”现在，萧以恒成为了世界上第一个知道这个秘密的alpha了。他不仅知道了这个秘密，他还将占有这个秘密。（腺体位置不剧透，大家看下去就知道啦！）
